system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,C_one_hop,Q001,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,mechanism,C_one_hop,fixed profile,True,1,False,False,False,MESH:D014025_Chemical;MESH:C056599_Chemical,29904399,icariin ->[promotes] osteogenic differentiation,icariin|osteogenic differentiation,111cda78a7696b53
netmedex_hybrid_rag,C_one_hop,Q002,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,retrieval,C_one_hop,fixed profile,True,1,False,False,False,MESH:D010013_Disease;HP:0000939_Phenotype;op_disease,37215980,osteoporosis --[associated_with] bone formation,osteoporosis|bone formation,f3c712dfb83180ad
netmedex_hybrid_rag,C_one_hop,Q003,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,direct_evidence,C_one_hop,fixed profile,True,1,False,False,False,map04931_Pathway;9606_Species,,,,fe46638f9e83fcc9
netmedex_hybrid_rag,C_one_hop,Q004,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,two_hop_path,C_one_hop,fixed profile,True,1,False,False,False,MESH:D003474_Chemical;R-HSA-109581_Pathway,32519340;38269517,curcumin ->[induces] apoptosis;curcumin ->[induces] apoptosis,curcumin|apoptosis;curcumin|apoptosis,aa79243785fea0d6
netmedex_hybrid_rag,C_one_hop,Q005,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,mechanism,C_one_hop,fixed profile,True,1,False,False,False,HP:0003287_Phenotype;351_Gene;HP:0001427_Phenotype;GO:0006979_BiologicalProcess;MESH:C564971_Disease,33476985,amyloid-beta --[related_to] mitochondrial toxicity,amyloid-beta|mitochondrial toxicity,9613368f286501f7
netmedex_hybrid_rag,C_one_hop,Q006,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,retrieval,C_one_hop,fixed profile,True,1,False,False,False,MESH:D014652_Disease,15861315;17430168;22112351;24928320;39684569,endothelial dysfunction --[associated_with] atherosclerosis;endothelial dysfunction ->[promotes] inflammation;endothelial dysfunction ->[promotes] inflammation;endothelial dysfunction ->[promotes] atherosclerosis;endothelial dysfunction --[correlates_with] coronary death;endothelial dysfunction --[correlates_with] myocardial infarction;endothelial dysfunction --[associated_with] essential hypertension;endothelial dysfunction --[associated_with] metabolic diseases;endothelial dysfunction --[associated_with] hypertensive;endothelial dysfunction --[associated_with] acute coronary syndromes;endothelial dysfunction --[associated_with] thrombosis;endothelial dysfunction --[associated_with] reactive oxygen species;endothelial dysfunction --[associated_with] peripheral;endothelial dysfunction --[associated_with] cardiovascular death,endothelial dysfunction|atherosclerosis;endothelial dysfunction|inflammation;endothelial dysfunction|inflammation;endothelial dysfunction|atherosclerosis;endothelial dysfunction|coronary death;endothelial dysfunction|myocardial infarction;endothelial dysfunction|essential hypertension;endothelial dysfunction|metabolic diseases;endothelial dysfunction|hypertensive;endothelial dysfunction|acute coronary syndromes;endothelial dysfunction|thrombosis;endothelial dysfunction|reactive oxygen species;endothelial dysfunction|peripheral;endothelial dysfunction|cardiovascular death,6c40773bf66ecca4
netmedex_hybrid_rag,C_one_hop,Q007,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,association,C_one_hop,fixed profile,True,1,False,False,False,112744_Gene;HP:0002960_Phenotype;27190_Gene;3605_Gene,25145755;27576555;30502718;30891627;37670700;39875232,il-17 ->[promotes] autoimmune disease;il-17 ->[promotes] inflammation;il-17 ->[promotes] inflammation;il-17b --[related_to] il-17;il-17 --[related_to] il-17b;il-17 --[associated_with] il-23;il-17 --[associated_with] signaling;il-17f. --[related_to] il-17;il-17 --[related_to] il-17f.;il-17 --[co_occurs_with] gm-csf;il-17 --[associated_with] immune-mediated inflammatory diseases;il-17 --[co_occurs_with] t-bet;il-17 --[associated_with] immune disorders;il-17 --[co_occurs_with] cd4,il-17|autoimmune disease;il-17|inflammation;il-17|inflammation;il-17b|il-17;il-17|il-17b;il-17|il-23;il-17|signaling;il-17f.|il-17;il-17|il-17f.;il-17|gm-csf;il-17|immune-mediated inflammatory diseases;il-17|t-bet;il-17|immune disorders;il-17|cd4,c4861b4e4a50cc2d
netmedex_hybrid_rag,C_one_hop,Q008,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,hypothesis,C_one_hop,fixed profile,True,1,False,False,False,HP:4000055_Phenotype;MESH:D003550_Disease;GO:0006954_BiologicalProcess;12638_Gene,,,,fe46638f9e83fcc9
netmedex_hybrid_rag,C_one_hop,Q009,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,retrieval,C_one_hop,fixed profile,True,1,False,False,False,map04630_Pathway,26972840;29897957,jak/stat pathway ->[regulates] homeostasis;jak/stat pathway ->[promotes] diabetes;jak/stat pathway ->[promotes] obesity;jak/stat pathway --[related_to] signaling;jak/stat pathway ->[regulates] behavior;jak/stat pathway --[associated_with] diabetes mellitus;jak/stat pathway --[associated_with] obesity,jak/stat pathway|homeostasis;jak/stat pathway|diabetes;jak/stat pathway|obesity;jak/stat pathway|signaling;jak/stat pathway|behavior;jak/stat pathway|diabetes mellitus;jak/stat pathway|obesity,18eccc976e5d296c
netmedex_hybrid_rag,C_one_hop,Q010,formal-v1-gpt-5.6-luna-C_one_hop,C. 1-hop Graph RAG,multilingual_mechanism,C_one_hop,fixed profile,True,1,False,False,False,,,,,fe46638f9e83fcc9
