question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count
Q001,1.0975221022963524,50.467482060194016,3.175919860601425,14.948209889233112,12.706442184746265,15.626017339527607,100.42227573692799,26,29,20,"['29500883', '29904399', '32911026', '33743412', '35292240', '38045146', '39588260', '41484919']",9
Q002,1.0819500088691711,62.68223290145397,2.1053989455103874,10.885239593684673,9.042612791061401,11.495958268642426,99.1114541888237,45,64,20,"['23223004', '23605904', '33255179', '33434305', '34502371', '35285389', '35831436', '36835184', '37215980', '38106447', '39343927', '41369394']",15
Q003,1.1057824790477753,82.41277036815882,1.9433758854866028,9.358321599662304,10.75092339515686,12.74104705452919,120.15912061184645,41,63,20,"['31426593', '32437299', '33439300', '34536157', '34847640', '39471690', '39593091', '39749338']",15
Q004,1.0771685913205147,86.60940658301115,1.5845058113336563,8.830281898379326,10.971631363034248,12.048629447817802,122.61057329922915,35,46,20,"['15810876', '29693253', '30623450', '30725357', '31590362', '32519340', '37776274', '38031951', '38166505', '38699926', '39219410', '41109942']",15
Q005,1.0997079834342003,76.2999946475029,2.1059998646378517,9.699242927134037,6.730065286159515,7.685192085802555,105.46676905453205,41,71,20,"['22697066', '27766447', '33476985', '35269827', '35522844', '35660451', '37227619', '37597424', '40023293', '40902587', '40931065']",15
Q006,1.0990542843937874,82.75110606849194,1.988976240158081,9.077205121517181,7.969414420425892,16.834857314825058,121.6100420281291,51,67,20,"['10569303', '15111011', '15320839', '15861315', '17430168', '18695354', '22112351', '24928320', '39684569']",15
Q007,1.076751284301281,69.81737288087606,1.7839264646172523,13.264161825180054,7.537271820008755,13.001932196319103,108.46090256422758,44,80,20,"['25145755', '27576555', '27757507', '30502718', '30891627', '31295952', '34635393', '34875227', '35872102', '37579542']",15
Q008,1.1156421080231667,85.48263188451529,2.05023942142725,15.463787041604519,14.197042308747768,18.841683574020863,138.55899047851562,45,66,20,"['23788646', '27588407', '28155088', '30546102', '32326161', '35160099', '35743652', '36600119', '37546931', '38073491']",15
Q009,1.356604427099228,67.99533329159021,1.871645636856556,15.385244257748127,10.929090529680252,26.773055277764797,125.27709429711103,66,95,0,[],15
Q010,1.0511307641863823,149.80550852417946,3.2651607394218445,30.502033337950706,28.95023500919342,48.18162216246128,263.71810625493526,34,32,0,[],12
Q011,1.0892223790287971,115.4038443788886,2.0024591237306595,11.555527038872242,10.34329678863287,17.390317134559155,159.48660220950842,20,19,20,"['24009772', '26277279', '29167573', '29662316', '30445633', '31205529', '33886150', '34576192', '35072253', '35731713', '37371530', '40140842']",15
Q012,1.31162828207016,88.1022475361824,1.8758432865142822,5.870376773178577,5.624280534684658,18.30793719738722,123.56863436102867,18,14,0,[],15
Q013,0.7835604250431061,40.4009315520525,0.6085944771766663,4.704771652817726,4.670177713036537,8.022344969213009,60.90438083559275,2,1,0,[],1
Q014,1.0595745518803596,38.35433954000473,1.36324293166399,9.821327321231365,8.636490941047668,15.099125035107136,76.24029864370823,19,24,20,"['31375130', '32561292', '37014106', '39354368']",6
Q015,1.0216978043317795,54.85151559114456,0.8822069242596626,11.550901845097542,12.59893374145031,13.595523670315742,105.21794536709785,12,13,0,[],3
Q016,0.8094890043139458,31.332646377384663,0.9903820231556892,10.535042375326157,8.8545361161232,22.01319709420204,78.24880701303482,7,8,17,"['19437551', '33353564', '36142791', '39264856']",4
Q017,1.0909507647156715,62.89993917196989,1.63432028144598,10.836438409984112,8.469227388501167,18.847865603864193,105.33900274336338,38,59,20,"['21806387', '22285300', '23150151', '23333143', '23726091', '23981082', '26309584', '28135763', '29352151', '29408797', '36891827', '39327966']",15
Q018,1.0823654010891914,81.8649338632822,1.926578775048256,12.882832981646061,12.78691128641367,14.046379446983337,126.33022471517324,46,55,20,"['34123476', '35592732', '37823709', '39039301', '41718716', '42162235']",15
Q019,1.109392635524273,69.17739243805408,1.7256743982434273,8.912688679993153,7.468674995005131,14.771559752523899,105.0166611969471,25,38,0,[],15
Q020,1.0896231532096863,64.45744352787733,1.4615380465984344,16.246086843311787,11.519969530403614,19.608029514551163,117.54180462658405,45,59,20,"['17118265', '19898734', '23470835', '26157576', '29788568', '35264832', '36713826', '39447984']",11
Q021,1.0821420848369598,74.12745666503906,1.5401869714260101,11.40235598385334,9.299738772213459,24.233245752751827,123.0613012984395,21,19,7,['39676197'],10
Q022,0.7871128842234612,33.46254752576351,0.8913039863109589,6.06771469861269,7.916757546365261,17.983624398708344,70.97992677986622,2,1,1,['41154680'],1
Q023,1.1148749589920044,75.95086798071861,1.8314021602272987,12.988757081329823,14.324890866875648,23.27470973134041,131.8792062997818,41,63,20,"['26057751', '26861406', '30279729', '30737895', '32322559', '34589393', '34905218', '39386828', '41129727']",15
Q024,1.0747968703508377,86.2083959877491,1.7963691726326942,14.591091938316822,13.910966515541077,25.527831874787807,142.71226619929075,54,64,14,"['31129811', '40599055']",15
Q025,1.0284106582403183,55.78561946004629,4.005848832428455,12.721779726445675,9.042123712599277,21.99465126544237,109.61687252670527,20,27,20,"['17380205', '19897286']",4
Q026,1.0891330391168594,68.4838364571333,1.786833569407463,9.921756945550442,7.632727548480034,20.46922877430916,110.75931544601917,34,37,1,['40674913'],15
Q027,1.0970413014292717,68.55891842395067,2.1165270432829857,12.15632127225399,12.086019717156887,17.27085918188095,116.85851763188839,41,69,20,"['21278761', '23894780', '24563883', '26593863', '27018618', '27043843', '28070798', '28092021', '32666762', '34621381', '36916543', '41226614']",15
Q028,1.077692650258541,61.800136387348175,1.3873389586806297,9.978939138352871,7.388497665524483,19.06273405253887,102.65062648057938,28,23,11,"['28938696', '42191394']",9
Q029,1.0174794048070908,36.04168827831745,1.2368376329541206,14.899466514587402,11.751927502453327,16.64711368829012,83.24328055977821,28,45,20,"['37107335', '40113668', '40418230', '40681353', '42065920']",7
Q030,1.342551976442337,71.5533679574728,1.8551792055368423,9.784452237188816,11.56571726500988,17.74937303364277,116.2576072588563,33,60,20,"['21145432', '23123365', '28445690', '29489077', '31427752', '32158005', '37264010', '40264292', '41090786', '41443481']",15
Q031,1.2938143610954285,92.64153990149498,1.9508989676833153,16.87153646349907,17.084324970841408,17.31515423953533,154.93904547393322,19,19,16,"['31182684', '31902917', '33233866', '35216228', '38590314', '40484710', '40985485']",15
Q032,1.0223673656582832,43.17977361381054,1.1531085446476936,8.427138954401016,8.247686676681042,14.943321280181408,78.7098036184907,8,4,0,[],4
Q033,1.1111785247921944,101.0961575359106,1.7509737089276314,13.274938061833382,14.181987911462784,23.500614777207375,156.31992982327938,35,51,20,"['29957462', '30081711', '34129254', '34522161', '34607160', '35646542', '35785548', '36370962', '36398583', '36703745', '41351245']",15
Q034,1.1339217945933342,90.25465229898691,2.0173732712864876,13.734907440841198,13.353578895330429,13.570183850824833,135.559335693717,36,47,20,"['15544519', '16728325', '26054568', '28993218', '31005756', '40528841', '40752455', '41601934']",15
Q035,0.7845608294010162,16.933244459331036,1.1931752189993858,10.181966178119183,8.854340210556984,18.094364643096924,57.75355947762728,16,13,0,[],4
Q036,1.0878978222608566,43.026586443185806,1.3868423849344254,15.924412094056606,10.195749148726463,23.919964343309402,96.13563337177038,20,16,14,"['23581983', '26165427', '31480567', '37571283', '40243461']",8
Q037,1.0643809214234352,61.56484512984753,1.6559384316205978,12.365574292838573,10.642170041799545,19.701856650412083,108.79048131406307,29,54,0,[],11
Q038,1.0793649107217789,69.42349101603031,1.390224538743496,14.619085028767586,11.814795657992363,17.055273458361626,117.1458098590374,35,41,20,"['15972960', '26189496', '27598995', '28286757', '29149648', '30954617', '34122118']",8
Q039,1.071068786084652,83.63632114231586,1.6853500977158546,13.972840055823326,10.139830268919468,19.961086057126522,133.63613379001617,58,71,20,"['20186711', '28215294', '30134168', '33096634', '37799103', '37948105', '38680011', '39844795']",15
Q040,0.7753976285457611,17.80032639950514,0.7508853897452354,5.2257168516516685,5.031589686870575,19.609796464443207,52.64888623356819,7,8,0,[],1
Q041,1.0453772991895676,185.16575814783573,1.5885948166251183,20.347435534000397,23.61777275055647,36.70268001407385,271.0306626930833,18,23,0,[],10
Q042,0.7796363234519958,46.78180060535669,0.9818759709596634,11.13268344849348,9.085028998553753,12.323262445628643,85.13923301547766,12,14,17,"['22949320', '29203226', '29922283']",3
Q043,1.0978506058454514,88.60863819718361,1.7067345902323723,13.648595988750458,14.416124127805233,24.63455221056938,142.51230167597532,42,54,20,"['23254930', '23686772', '31748742', '32958021', '39026249', '39407211', '39904338', '40541122', '41173224']",15
Q044,1.0153366699814796,40.520457588136196,1.0238501280546188,6.519995771348476,4.319556176662445,6.19061890989542,61.5645230486989,14,14,12,"['31562952', '32428778']",4
Q045,1.077961802482605,71.96745193749666,1.6763597950339317,10.910105891525745,11.789232574403286,17.19842153042555,121.58551373332739,29,34,20,"['29050859', '33902708', '34569615', '39062586', '40394225', '41173224', '41417476', '42265098']",13
Q046,1.0227506011724472,47.46756434440613,1.446709305047989,5.508468724787235,5.379822209477425,13.091106116771698,76.70437624305487,26,28,12,"['12429935', '12446774', '15075340', '16425280']",7
Q047,0.7787056416273117,34.20283120125532,0.7291781231760979,2.9612253233790398,3.095228895545006,12.330505192279816,56.41474101692438,2,1,0,[],1
Q048,1.093589887022972,67.80827787518501,2.0997193828225136,8.14652644097805,9.830227352678776,18.575875610113144,110.35615045577288,49,64,20,"['12562498', '33452455', '35056817', '36520091', '37907083', '38083808', '38437643', '38981361', '40452254']",15
Q049,1.0601182281970978,87.57653693854809,1.823395013809204,8.24964313954115,8.992557302117348,21.113638535141945,130.85038347542286,46,52,20,"['23649149', '29160304', '30056242', '35672400', '37834293', '39744939']",15
Q050,1.0160772427916527,44.873847618699074,1.0071471258997917,10.667988628149033,6.517922282218933,12.976862348616123,78.58404937386513,19,21,4,['40270955'],5
