system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,D_two_hop,Q001,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,mechanism,D_two_hop,fixed profile,True,2,False,False,False,MESH:D014025_Chemical;MESH:C056599_Chemical,29904399;38045146,icariin ->[promotes] osteogenic differentiation;icariin ->[upregulates] runt-related transcription factor 2 | runt-related transcription factor 2 ->[regulates] osteogenic differentiation;icariin ->[upregulates] jmjd3 | jmjd3 --[correlates_with] osteogenic differentiation;icariin ->[increases] mir-153 | mir-153 ->[regulates] osteogenic differentiation,icariin|osteogenic differentiation;icariin|runt-related transcription factor 2|osteogenic differentiation;icariin|jmjd3|osteogenic differentiation;icariin|mir-153|osteogenic differentiation,fdf68143cb906fa2
netmedex_hybrid_rag,D_two_hop,Q002,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,retrieval,D_two_hop,fixed profile,True,2,False,False,False,MESH:D010013_Disease;HP:0000939_Phenotype;op_disease,23605904;34502371;37215980,osteoporosis --[associated_with] osteoporosis | osteoporosis --[associated_with] bone formation;osteoporosis --[associated_with] bone formation;osteoporosis --[associated_with] osteoporosis | osteoporosis --[related_to] osteogenesis,osteoporosis|osteoporosis|bone formation;osteoporosis|bone formation;osteoporosis|osteoporosis|osteogenesis,a33d7832a7ab53d2
netmedex_hybrid_rag,D_two_hop,Q003,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,direct_evidence,D_two_hop,fixed profile,True,2,False,False,False,9606_Species;map04931_Pathway,33439300,insulin resistance --[associated_with] pcos | pcos --[associated_with] inflammation,insulin resistance|pcos|inflammation,d2cfaf6e7b98b2c5
netmedex_hybrid_rag,D_two_hop,Q004,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,two_hop_path,D_two_hop,fixed profile,True,2,False,False,False,R-HSA-109581_Pathway;MESH:D003474_Chemical,32519340;38269517,curcumin ->[induces] apoptosis;curcumin ->[induces] apoptosis,curcumin|apoptosis;curcumin|apoptosis,d7fb8383a72fb6b0
netmedex_hybrid_rag,D_two_hop,Q005,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,mechanism,D_two_hop,fixed profile,True,2,False,False,False,HP:0003287_Phenotype;MESH:C564971_Disease;HP:0001427_Phenotype;351_Gene;GO:0006979_BiologicalProcess,33476985;35522844,amyloid-beta --[related_to] mitochondrial toxicity;amyloid-beta ->[causes] ad | ad --[associated_with] mitochondrial dysfunction,amyloid-beta|mitochondrial toxicity;amyloid-beta|ad|mitochondrial dysfunction,01ccce98e9ed1c56
netmedex_hybrid_rag,D_two_hop,Q006,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,retrieval,D_two_hop,fixed profile,True,2,False,False,False,MESH:D014652_Disease,15861315;17430168;22112351;24928320;39684569,endothelial dysfunction --[associated_with] atherosclerosis;endothelial dysfunction ->[promotes] inflammation;endothelial dysfunction ->[promotes] inflammation;endothelial dysfunction ->[promotes] atherosclerosis;endothelial dysfunction --[correlates_with] coronary death;endothelial dysfunction --[correlates_with] myocardial infarction;endothelial dysfunction --[associated_with] essential hypertension;endothelial dysfunction --[associated_with] metabolic diseases;endothelial dysfunction --[associated_with] hypertensive;endothelial dysfunction --[associated_with] acute coronary syndromes;endothelial dysfunction --[associated_with] thrombosis;endothelial dysfunction --[associated_with] reactive oxygen species;endothelial dysfunction --[associated_with] peripheral;endothelial dysfunction --[associated_with] cardiovascular death;endothelial dysfunction ->[promotes] inflammation | inflammation ->[promotes] atherosclerosis;endothelial dysfunction ->[promotes] inflammation | inflammation ->[promotes] atherosclerosis,endothelial dysfunction|atherosclerosis;endothelial dysfunction|inflammation;endothelial dysfunction|inflammation;endothelial dysfunction|atherosclerosis;endothelial dysfunction|coronary death;endothelial dysfunction|myocardial infarction;endothelial dysfunction|essential hypertension;endothelial dysfunction|metabolic diseases;endothelial dysfunction|hypertensive;endothelial dysfunction|acute coronary syndromes;endothelial dysfunction|thrombosis;endothelial dysfunction|reactive oxygen species;endothelial dysfunction|peripheral;endothelial dysfunction|cardiovascular death;endothelial dysfunction|inflammation|atherosclerosis;endothelial dysfunction|inflammation|atherosclerosis,7320fb579f388d81
netmedex_hybrid_rag,D_two_hop,Q007,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,association,D_two_hop,fixed profile,True,2,False,False,False,HP:0002960_Phenotype;3605_Gene;27190_Gene;112744_Gene,25145755;27576555;30502718;30891627;37670700;39875232,il-17 ->[promotes] autoimmune disease;il-17 ->[promotes] inflammation;il-17 ->[promotes] inflammation;il-17b --[related_to] il-17;il-17 --[related_to] il-17b;il-17 --[associated_with] il-23;il-17 --[associated_with] signaling;il-17f. --[related_to] il-17;il-17 --[related_to] il-17f.;il-17 --[co_occurs_with] gm-csf;il-17 --[associated_with] immune-mediated inflammatory diseases;il-17 --[co_occurs_with] t-bet;il-17 --[associated_with] immune disorders;il-17 --[co_occurs_with] cd4;il-17b --[related_to] il-17 | il-17 ->[promotes] inflammation;il-17b --[related_to] il-17 | il-17 ->[promotes] autoimmune disease;il-17b --[related_to] il-17 | il-17 ->[promotes] inflammation;il-17b --[related_to] il-17 | il-17 --[associated_with] il-23;il-17b --[related_to] il-17 | il-17 --[associated_with] signaling;il-17f. --[related_to] il-17 | il-17 --[related_to] il-17b,il-17|autoimmune disease;il-17|inflammation;il-17|inflammation;il-17b|il-17;il-17|il-17b;il-17|il-23;il-17|signaling;il-17f.|il-17;il-17|il-17f.;il-17|gm-csf;il-17|immune-mediated inflammatory diseases;il-17|t-bet;il-17|immune disorders;il-17|cd4;il-17b|il-17|inflammation;il-17b|il-17|autoimmune disease;il-17b|il-17|inflammation;il-17b|il-17|il-23;il-17b|il-17|signaling;il-17f.|il-17|il-17b,f3ceed2b7f2e844f
netmedex_hybrid_rag,D_two_hop,Q008,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,hypothesis,D_two_hop,fixed profile,True,2,False,False,False,GO:0006954_BiologicalProcess;MESH:D003550_Disease;HP:4000055_Phenotype;12638_Gene,28155088;30546102;37546931,cftr ->[causes] cf | cf --[associated_with] inflammation;cftr ->[causes] cf | cf --[associated_with] intestinal inflammation,cftr|cf|inflammation;cftr|cf|intestinal inflammation,92b870de9f9becee
netmedex_hybrid_rag,D_two_hop,Q009,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,retrieval,D_two_hop,fixed profile,True,2,False,False,False,map04630_Pathway,26972840;29897957;32885495,jak/stat pathway ->[regulates] homeostasis;jak/stat pathway ->[promotes] diabetes;jak/stat pathway ->[promotes] obesity;jak/stat pathway --[related_to] signaling;jak/stat pathway ->[regulates] behavior;jak/stat pathway ->[promotes] diabetes | diabetes --[associated_with] hyperglycemia;jak/stat pathway ->[promotes] obesity | obesity --[associated_with] il-6;jak/stat pathway --[associated_with] diabetes mellitus;jak/stat pathway --[associated_with] obesity,jak/stat pathway|homeostasis;jak/stat pathway|diabetes;jak/stat pathway|obesity;jak/stat pathway|signaling;jak/stat pathway|behavior;jak/stat pathway|diabetes|hyperglycemia;jak/stat pathway|obesity|il-6;jak/stat pathway|diabetes mellitus;jak/stat pathway|obesity,c6b11187a3d21828
netmedex_hybrid_rag,D_two_hop,Q010,formal-v1-gpt-5.6-luna-D_two_hop,D. 2-hop Graph RAG,multilingual_mechanism,D_two_hop,fixed profile,True,2,False,False,False,,,,,0de3fe1ae963908c
