system,arm,question_id,run_id,label,question_type,routed_profile,route_reason,use_node_rag,max_hops,gate_directional_paths,gate_multi_document_paths,gate_evidence_paths,node_ids,exposed_pmids,exposed_edges,exposed_paths,exposure_signature
netmedex_hybrid_rag,F_adaptive,Q003,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q013,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q021,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q027,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q033,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q046,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,direct_evidence,A_text_only,question_type=direct_evidence,False,0,False,False,,,,,,
netmedex_hybrid_rag,F_adaptive,Q016,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,MESH:D028361_Disease;smn_disease;MESH:D001284_Disease,,,,cdeec80ea79808c4
netmedex_hybrid_rag,F_adaptive,Q022,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,MESH:D005355_Disease;MESH:D007249_Disease;MESH:D001281_Disease,,,,cdeec80ea79808c4
netmedex_hybrid_rag,F_adaptive,Q023,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,MESH:D000860_Disease;15251_Gene;GO:0001837_BiologicalProcess,26861406,hypoxia ->[activates] hif-1alpha,hypoxia|hif-1alpha,a8507129c3da601d
netmedex_hybrid_rag,F_adaptive,Q029,formal-v1-gpt-4.1-F_adaptive,F. Adaptive routed Hybrid RAG,mechanism,H_evidence_gated_four_hop,question_type=mechanism,True,4,False,False,True,MESH:D005642_Disease;HP:0002621_Phenotype,,,,cdeec80ea79808c4
