question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,47.925136372447014,3.0774452686309814,13.793380737304688,11.746823869645596,14.878094524145126,95.24422945082188,33,47,0,"['29500883', '29904399', '32911026', '33743412', '35292240', '38045146', '39588260', '41484919']",9,31920,30349,62269
Q002,0.0,76.21556450426579,2.148750603199005,11.16241280734539,8.371547721326351,13.107539139688015,115.53128306567669,43,42,0,"['23223004', '23605904', '27904930', '33255179', '33434305', '34502371', '35285389', '35831436', '36319624', '36835184', '37215980', '38106447', '39343927', '41369394']",15,40268,50122,90390
Q003,0.0,100.85264866054058,1.575173333287239,10.465257160365582,9.898460924625397,16.043330267071724,143.22970433533192,40,43,0,"['12172480', '17053832', '18094066', '24003928', '29241747', '31426593', '31577826', '32437299', '33439300', '34536157', '34847640', '37895163', '39471690', '39593091', '39749338']",15,43902,62493,106395
Q004,0.0,87.37521333992481,1.7592277452349663,8.778108060359955,8.190892972052097,8.971843995153904,118.8511338159442,33,49,0,"['15810876', '29693253', '30623450', '30725357', '31590362', '32519340', '35722665', '37776274', '38031951', '38166505', '38269517', '38699926', '39219410', '41109942', '41252742']",15,42039,54380,96419
Q005,0.0,87.81224027276039,1.8198976442217827,7.152398608624935,5.5947673842310905,10.430310063064098,115.84129998832941,26,28,0,"['22697066', '27766447', '27809706', '32967303', '33476985', '35269827', '35522844', '35660451', '37227619', '37597424', '37956598', '40023293', '40864415', '40902587', '40931065']",15,42184,53164,95348
Q006,0.0,85.81027295440435,1.76502775400877,7.93264240026474,6.66786765307188,19.261066772043705,126.10725901275873,48,68,0,"['10569303', '15320839', '15815580', '15861315', '17430168', '18695354', '22112351', '24928320', '35970408', '39684569']",15,40251,49210,89461
Q007,0.0,89.7894242554903,1.920959822833538,6.554199367761612,7.352450095117092,11.846881099045277,121.65221933275461,34,37,0,"['25130295', '25145755', '25467639', '27576555', '30502718', '30891627', '31295952', '31866067', '34635393', '34875227', '35872102', '37579542', '37670700', '39875232']",15,40191,53761,93952
Q008,0.0,77.72655830532312,1.9115978330373764,12.683722473680973,12.687170319259167,21.017724975943565,128.88523662090302,29,43,0,"['23788646', '27588407', '28155088', '30546102', '31636470', '32326161', '35160099', '35743652', '36600119', '37546931', '38073491', '38179971', '38554847', '40247380', '40824057']",15,46651,55139,101790
Q009,0.0,82.50794223695993,1.8825493454933167,11.969045393168926,11.253974817693233,29.12568862736225,140.4222635924816,42,51,0,"['26972840', '29897957', '31114509', '32885495', '33601387', '39122555', '40617409']",15,44171,57502,101673
Q010,0.0,57.432462342083454,1.7200257182121277,28.648045234382153,31.341303043067455,47.966776609420776,172.40118505060673,59,80,0,[],12,41189,49871,91060
