system,arm,question_id,run_id,path_rank,path_id,path_signature,source,bridge,target,relation_1,relation_2,direction_1,direction_2,pmids,score,hop_count,path_text
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,1,Q008-P01,4a3cda6d12af4004,inflammation,,cystic fibrosis,associated_with,,undirected,undirected,27588407;28155088;30546102,1.0120,1,inflammation --[associated_with] cystic fibrosis
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,2,Q008-P02,7fa8268b35f37113,cftr,,inflammation,induces,,forward,undirected,27588407;37546931;38073491,0.8380,1,cftr ->[induces] inflammation
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,3,Q008-P03,95efdc1017aae6b9,inflammation,,cftr,induces,,forward,undirected,27588407;37546931;38073491,0.8380,1,inflammation ->[induces] cftr
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,4,Q008-P04,8a2e1d074912450a,inflammation,,dysbiosis,associated_with,,undirected,undirected,28155088;36600119;38073491,0.8170,1,inflammation --[associated_with] dysbiosis
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,5,Q008-P05,4ff61a5b0a5851b7,inflammation,cystic fibrosis,cftr,associated_with,causes,undirected,forward,23788646;27588407;28155088;30546102;31636470,0.7980,2,inflammation --[associated_with] cystic fibrosis | cystic fibrosis ->[causes] cftr
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,6,Q008-P06,7c47d4512c37a3b3,cftr,,cystic fibrosis,causes,,forward,undirected,27588407;37546931;38073491,0.7980,1,cftr ->[causes] cystic fibrosis
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,7,Q008-P07,7499c73e4b9a264d,cftr,,dysbiosis,induces,,forward,undirected,37546931;38073491;38554847,0.7980,1,cftr ->[induces] dysbiosis
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,8,Q008-P08,0e68a3212a9d011c,inflammation,,cftr,causes,,forward,undirected,23788646;31636470;35743652,0.7830,1,inflammation ->[causes] cftr
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,9,Q008-P09,31cad8a6a8412b40,inflammation,cystic fibrosis,dysbiosis,associated_with,associated_with,undirected,undirected,27588407;28155088;30546102;32326161,0.7310,2,inflammation --[associated_with] cystic fibrosis | cystic fibrosis --[associated_with] dysbiosis
netmedex_hybrid_rag,F_adaptive,Q008,formal-v1-gpt-4.1-F_adaptive,10,Q008-P10,e06a930792bf7526,cftr,,liver diseases,causes,,forward,undirected,38554847,0.7180,1,cftr ->[causes] liver diseases
