question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.903623342514038e-05,3.0943889170885086,2.3424625396728516e-05,,33.94826305657625,,37.59259149432182,0,0,0,[],9,4591,1200,5791
PP002,0.0,1.850724220275879e-05,4.436962366104126,2.174079418182373e-05,,30.327104941010475,,35.241625748574734,0,0,0,[],15,3627,1090,4717
PP003,0.0,7.820874452590942e-05,1.8193531408905983,2.6203691959381104e-05,,27.291838839650154,,29.591143392026424,0,0,0,[],15,3327,990,4317
PP004,0.0,5.48437237739563e-05,2.0269201919436455,1.2598931789398193e-05,,32.339355535805225,,35.012110628187656,0,0,0,[],15,3138,1200,4338
PP005,0.0,3.528594970703125e-05,1.9200010672211647,1.31949782371521e-05,,30.7224690169096,,33.29759657382965,0,0,0,[],15,3956,1105,5061
PP006,0.0,2.4549663066864014e-05,1.5596738755702972,8.285045623779297e-06,,33.73454311490059,,35.78270906955004,0,0,0,[],9,4597,1200,5797
PP007,0.0,2.3834407329559326e-05,1.8224840089678764,1.3746321201324463e-05,,21.880559779703617,,24.380472287535667,0,0,0,[],15,3774,753,4527
PP008,0.0,1.735985279083252e-05,4.325034938752651,3.248453140258789e-05,,29.60379146784544,,34.41798869520426,0,0,0,[],26,3968,1043,5011
PP009,0.0,4.404783248901367e-05,2.228340581059456,1.1980533599853516e-05,,33.66587524861097,,36.40944470465183,0,0,0,[],15,4545,1200,5745
PP010,0.0,3.6053359508514404e-05,1.7629214450716972,9.395182132720947e-06,,33.65769229084253,,35.929049924016,0,0,0,[],15,4502,1200,5702
PP011,0.0,2.602487802505493e-05,1.7226028740406036,9.3802809715271e-06,,32.6255267560482,,34.897535033524036,0,0,0,[],11,3593,1195,4788
PP012,0.0,2.4013221263885498e-05,1.7306592166423798,2.3789703845977783e-05,,27.407991744577885,,29.696044228971004,0,0,0,[],11,3595,981,4576
PP013,0.0,4.6119093894958496e-05,1.4110555052757263,9.268522262573242e-06,,27.593328073620796,,29.4740843847394,0,0,0,[],11,3587,990,4577
PP014,0.0,2.4430453777313232e-05,2.5283777117729187,1.3373792171478271e-05,,31.10732936859131,,34.33864740282297,0,0,0,[],26,3881,1120,5001
PP015,0.0,3.597140312194824e-05,4.005692034959793,8.32974910736084e-06,,27.947412185370922,,32.458843134343624,0,0,0,[],39,2714,1040,3754
PP016,0.0,2.4273991584777832e-05,3.99968134611845,2.6732683181762695e-05,,33.119020752608776,,37.68343445658684,0,0,0,[],39,4105,1200,5305
PP017,0.0,8.638948202133179e-05,1.7762023955583572,1.6577541828155518e-05,,31.008315943181515,,33.25639087706804,0,0,0,[],15,3906,1113,5019
PP018,0.0,3.775209188461304e-05,3.530182898044586,3.075599670410156e-05,,30.684170477092266,,35.00759582221508,0,0,0,[],42,3850,1104,4954
PP019,0.0,4.9501657485961914e-05,4.056142225861549,1.4886260032653809e-05,,30.426719523966312,,35.050275810062885,0,0,0,[],42,3307,1114,4421
PP020,0.0,3.594160079956055e-05,3.8527358323335648,1.8894672393798828e-05,,33.02735825628042,,37.487821973860264,0,0,0,[],42,3854,1200,5054
