system,question_id,rank,pmid,score
netmedex_hybrid_rag,BW008,1,27314335,0.57166201
netmedex_hybrid_rag,BW008,2,39599784,0.52435736
netmedex_hybrid_rag,BW008,3,41997336,0.52300660
netmedex_hybrid_rag,BW008,4,37879404,0.52297315
netmedex_hybrid_rag,BW008,5,40024530,0.51777871
netmedex_hybrid_rag,BW008,6,30842274,0.51094109
netmedex_hybrid_rag,BW008,7,40928246,0.49845753
netmedex_hybrid_rag,BW008,8,34842182,0.49426475
netmedex_hybrid_rag,BW008,9,24574713,0.49331361
netmedex_hybrid_rag,BW008,10,39411648,0.48275552
traditional_rag,BW008,1,27314335,0.57166201
traditional_rag,BW008,2,39599784,0.52435736
traditional_rag,BW008,3,41997336,0.52300660
traditional_rag,BW008,4,37879404,0.52297315
traditional_rag,BW008,5,40024530,0.51777871
traditional_rag,BW008,6,30842274,0.51094109
traditional_rag,BW008,7,40928246,0.49845753
traditional_rag,BW008,8,34842182,0.49426475
traditional_rag,BW008,9,24574713,0.49331361
traditional_rag,BW008,10,39411648,0.48275552
