question_id,pubtator_fetch,semantic_graph,vector_index,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
Q001,0.0,1.998990774154663e-05,3.317931316792965,12.313974052667618,9.143800660967827,13.130443379282951,38.401756159961224,0,0,0,[],9,9055,5015,14070
Q002,0.0,8.568912744522095e-05,1.7280294448137283,7.722041741013527,6.111929975450039,8.74725528806448,24.894063092768192,0,0,0,[],15,6851,3105,9956
Q003,0.0,2.82973051071167e-05,1.8560027331113815,6.691052228212357,5.576668240129948,8.365708783268929,23.161945708096027,0,0,0,[],15,6543,2549,9092
Q004,0.0,5.064159631729126e-05,1.805416852235794,6.708967261016369,7.779021754860878,7.878259524703026,24.72313365340233,0,0,0,[],15,7323,3185,10508
Q005,0.0,4.0903687477111816e-05,1.9690282195806503,4.067349955439568,4.595210701227188,5.093512125313282,16.26645516604185,0,0,0,[],15,6533,1675,8208
Q006,0.0,3.30805778503418e-05,1.8161098659038544,5.688475623726845,6.1878316923975945,9.209639318287373,23.4249402359128,0,0,0,[],15,7006,2828,9834
Q007,0.0,2.32011079788208e-05,2.078330844640732,5.446484178304672,4.749069534242153,6.959294602274895,19.76136264950037,0,0,0,[],15,6151,2468,8619
Q008,0.0,3.703683614730835e-05,1.5216068401932716,9.328023493289948,8.861549355089664,11.887704394757748,32.06580823659897,0,0,0,[],15,8809,4197,13006
Q009,0.0,4.476308822631836e-05,1.4037263989448547,8.492712676525116,7.752099052071571,18.85713756084442,37.01479108631611,0,0,0,[],15,8200,5328,13528
Q010,0.0,2.3759901523590088e-05,1.7136961370706558,18.78768891841173,19.729679703712463,21.70576874911785,62.43391113728285,0,0,0,[],12,10481,11048,21529
