question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.862645149230957e-05,3.745116963982582,0.00015417486429214478,0.0,,,4.233159288764,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,4.976242780685425e-05,1.4360227808356285,5.591660737991333e-05,0.0,,,1.9072827771306038,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,2.8789043426513672e-05,1.475286804139614,2.0422041416168213e-05,0.0,,,2.028399668633938,33,42,1,['33476985'],15,,,
PP004,0.0,2.642720937728882e-05,1.6382234394550323,2.7783215045928955e-05,0.0,,,2.159421995282173,35,41,1,['27576555'],15,,,
PP005,0.0,1.506507396697998e-05,1.5169273763895035,1.1146068572998047e-05,0.0,,,2.0136081129312515,123,208,1,['26277279'],15,,,
PP006,0.0,1.4886260032653809e-05,1.2147565707564354,3.438442945480347e-05,0.0,,,1.6874142438173294,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,1.5482306480407715e-05,1.3382834643125534,5.1856040954589844e-05,0.0,,,1.8147046118974686,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,1.7642974853515625e-05,2.2024281546473503,0.00020594149827957153,0.0,,,2.7312050238251686,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,4.5709311962127686e-05,1.3677408695220947,0.00028583407402038574,0.0,,,1.8742351457476616,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.919269561767578e-05,1.891087383031845,0.00026281923055648804,0.0,,,2.5359905436635017,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,0.0001017451286315918,1.585456557571888,0.0002474561333656311,0.0,,,2.1059776172041893,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,4.105269908905029e-05,1.2001014202833176,0.00033764541149139404,0.0,,,1.7993561625480652,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,3.89590859413147e-05,1.4203875362873077,0.00021198391914367676,0.0,,,1.9642514735460281,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.459568738937378e-05,2.0405630245804787,7.3645326644182205,28.844285130500793,,,38.756350591778755,166,267,1,"['29302038', '35430804']",26,3841,1017,4858
PP015,0.0,7.910281419754028e-05,3.137391895055771,6.526588894426823,23.804612681269646,,,34.14903374016285,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,2863,871,3734
PP016,0.0,2.1770596504211426e-05,3.52059143781662,6.159326210618019,28.787095867097378,,,39.05404856801033,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4151,1020,5171
PP017,0.0,2.069026231765747e-05,1.810671217739582,0.00015963613986968994,0.0,,,2.2645512595772743,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,4.123896360397339e-05,3.0862417221069336,8.431359507143497,32.9947135746479,,,45.153761595487595,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,1200,5045
PP019,0.0,8.858740329742432e-05,3.3693704307079315,9.225306309759617,32.84913782775402,,,46.12451709061861,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,1200,4874
PP020,0.0,8.835643529891968e-05,3.649072043597698,8.248363144695759,32.92875111848116,,,45.453658156096935,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,1200,5049
