question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,2.769380807876587e-05,3.4731509387493134,0.00021710246801376343,0.0,,,4.156764477491379,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,2.8878450393676758e-05,1.548279047012329,4.699826240539551e-05,0.0,,,2.0435618236660957,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,1.7054378986358643e-05,1.4312069565057755,3.261864185333252e-05,0.0,,,1.942785955965519,33,42,1,['33476985'],15,,,
PP004,0.0,2.724677324295044e-05,1.5725151747465134,1.2613832950592041e-05,0.0,,,2.05765812844038,35,41,1,['27576555'],15,,,
PP005,0.0,1.681596040725708e-05,1.4230989441275597,1.2822449207305908e-05,0.0,,,1.9488433748483658,123,208,1,['26277279'],15,,,
PP006,0.0,3.515183925628662e-05,1.055182345211506,2.9452145099639893e-05,0.0,,,1.5415372550487518,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,1.8008053302764893e-05,1.725777767598629,6.91637396812439e-05,0.0,,,2.3502396047115326,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,2.9243528842926025e-05,2.1266610994935036,0.00012392550706863403,0.0,,,2.6383047327399254,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,1.9021332263946533e-05,1.7929137647151947,0.00020509958267211914,0.0,,,2.3339256420731544,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,2.3327767848968506e-05,1.53123639523983,0.00010579824447631836,0.0,,,2.064116396009922,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,1.718848943710327e-05,1.231976792216301,0.00039558112621307373,0.0,,,1.9121469780802727,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,7.548928260803223e-05,1.472759336233139,0.00015900284051895142,0.0,,,1.958546556532383,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,1.8186867237091064e-05,1.2433829009532928,0.00021694600582122803,0.0,,,1.757410891354084,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,2.5898218154907227e-05,1.9639987722039223,5.808405488729477,30.8589990735054,,,39.104987904429436,166,267,1,"['29302038', '35430804']",26,3828,1112,4940
PP015,0.0,6.350874900817871e-05,3.1801530346274376,0.00016126781702041626,0.0,,,3.9973266050219536,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,6.175041198730469e-05,2.366699829697609,0.00014615803956985474,0.0,,,2.904930904507637,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,5.082041025161743e-05,1.4362723305821419,0.00023301690816879272,0.0,,,2.1066030710935593,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,3.501027822494507e-05,2.7762239575386047,6.582030043005943,30.715070009231567,,,40.7826474532485,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3832,1122,4954
PP019,0.0,8.209794759750366e-05,3.205079309642315,11.11926806718111,50.464939154684544,,,65.30045188218355,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3661,1937,5598
PP020,0.0,8.211284875869751e-05,3.3317699655890465,9.051753550767899,37.697529673576355,,,50.62446939200163,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3836,1408,5244
