question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.7113983631134033e-05,2.9050541892647743,0.000154152512550354,0.0,,,3.4052738696336746,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,5.850940942764282e-05,1.8660248816013336,6.458908319473267e-05,0.0,,,2.353971540927887,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,2.65464186668396e-05,1.5614532679319382,2.8230249881744385e-05,0.0,,,2.0486296713352203,33,42,1,['33476985'],15,,,
PP004,0.0,4.6662986278533936e-05,1.6177483201026917,1.0229647159576416e-05,0.0,,,2.0947341099381447,35,41,1,['27576555'],15,,,
PP005,0.0,1.6048550605773926e-05,1.3732394501566887,9.857118129730225e-06,0.0,,,1.8350325897336006,123,208,1,['26277279'],15,,,
PP006,0.0,1.5854835510253906e-05,1.2421488016843796,6.915628910064697e-05,0.0,,,1.7474523112177849,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,2.8185546398162842e-05,1.449673131108284,6.505846977233887e-05,0.0,,,1.9446707144379616,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,2.158433198928833e-05,2.420050598680973,0.0003338530659675598,0.0,,,3.0066319406032562,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,6.625056266784668e-05,2.069692775607109,0.0001766309142112732,0.0,,,2.565731965005398,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,2.2873282432556152e-05,1.6531100869178772,0.00010122358798980713,0.0,,,2.120212033390999,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,1.5251338481903076e-05,1.4064736366271973,0.0002783462405204773,0.0,,,1.875118225812912,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,3.512948751449585e-05,1.2744013592600822,0.0003220215439796448,0.0,,,1.8375983536243439,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,2.0481646060943604e-05,1.7039018869400024,0.00021857023239135742,0.0,,,2.1748570576310158,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.9840896129608154e-05,2.1059897765517235,0.00020328909158706665,34.01395786553621,,,36.63308333605528,166,267,1,"['29302038', '35430804']",26,4175,1200,5375
PP015,0.0,3.2335519790649414e-05,3.0991958528757095,0.0003790035843849182,27.693581461906433,,,31.357395499944687,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,3346,1007,4353
PP016,0.0,3.828853368759155e-05,3.2895179092884064,0.00040556490421295166,24.34293305873871,,,28.2592696249485,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4078,843,4921
PP017,0.0,1.771003007888794e-05,1.7436386197805405,0.00011366605758666992,0.0,,,2.1992435678839684,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,1.5169382095336914e-05,2.9418556094169617,0.0005887225270271301,33.05411443114281,,,36.44095145910978,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3883,1200,5083
PP019,0.0,0.00010215491056442261,3.407391458749771,0.0005022883415222168,32.85209918767214,,,36.75033152848482,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3670,1200,4870
PP020,0.0,5.665421485900879e-05,3.7260492369532585,0.0005820244550704956,32.839081794023514,,,37.09996875375509,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3600,1200,4800
