question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.8402934074401855e-05,3.130779393017292,0.00011245161294937134,0.0,,,3.618056148290634,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,2.0273029804229736e-05,1.3609589114785194,4.6819448471069336e-05,0.0,,,1.9071547463536263,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,1.6845762729644775e-05,1.3904118165373802,1.3887882232666016e-05,0.0,,,1.8782850950956345,33,42,1,['33476985'],15,,,
PP004,0.0,1.6033649444580078e-05,1.4971658736467361,2.0273029804229736e-05,0.0,,,2.190400116145611,35,41,1,['27576555'],15,,,
PP005,0.0,2.4355947971343994e-05,1.3935589790344238,1.2867152690887451e-05,0.0,,,1.9309806898236275,123,208,1,['26277279'],15,,,
PP006,0.0,1.757591962814331e-05,1.0942919924855232,2.9295682907104492e-05,0.0,,,1.585725650191307,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,1.6734004020690918e-05,1.7298996224999428,4.722177982330322e-05,0.0,,,2.241641618311405,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,2.006441354751587e-05,2.09206061065197,0.00012132525444030762,0.0,,,2.779050476849079,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,1.802295446395874e-05,1.4645456746220589,0.00023911148309707642,0.0,,,1.9580878764390945,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,4.916638135910034e-05,1.4057555496692657,9.324401617050171e-05,0.0,,,1.8990163132548332,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,1.5974044799804688e-05,1.1480756998062134,0.0001575946807861328,0.0,,,1.6561563163995743,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,1.7248094081878662e-05,1.5046568289399147,0.0003517642617225647,0.0,,,2.0794629603624344,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,3.8407742977142334e-05,1.4037588685750961,0.0004303380846977234,0.0,,,2.0372992530465126,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,2.205371856689453e-05,2.4205364361405373,6.1457143276929855,29.15729434043169,,,38.2710740044713,166,267,1,"['29302038', '35430804']",26,3841,1044,4885
PP015,0.0,6.143748760223389e-05,3.3965076953172684,0.0001748204231262207,0.0,,,4.170060381293297,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP016,0.0,5.396455526351929e-05,2.3761712461709976,0.00015260279178619385,0.0,,,2.955265060067177,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,0,0,0
PP017,0.0,4.9524009227752686e-05,1.5860168486833572,0.00011216104030609131,0.0,,,2.0418242812156677,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,1.7277896404266357e-05,6.028361536562443,6.483520992100239,35.118260845541954,,,48.19480114430189,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,1284,5129
PP019,0.0,7.891654968261719e-05,3.4465553909540176,7.492315001785755,43.51571583747864,,,54.995131596922874,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,1643,5317
PP020,0.0,7.772445678710938e-05,3.526647485792637,7.273658022284508,29.57970566302538,,,41.00100529938936,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,1075,4924
