answer_id,question_id,system,judge_count,correctness,correctness_mean,correctness_unanimous,completeness,completeness_mean,completeness_unanimous,relevance,relevance_mean,relevance_unanimous,grounding,grounding_mean,grounding_unanimous,mechanistic_coherence,mechanistic_coherence_mean,mechanistic_coherence_unanimous,research_value,research_value_mean,research_value_unanimous
PP001-A,PP001,traditional_text_rag,2,4,4,1,3,3,1,4,4.5,0,3,3.5,0,4,4,1,3,3.5,0
PP001-B,PP001,structured_gated_path_answer,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,4,4.5,0,5,5,1
PP001-C,PP001,legacy_path_answer,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP001-D,PP001,text_rag_kg_reranking,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,5,5,1,4,4,1
PP002-A,PP002,legacy_path_answer,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP002-B,PP002,text_rag_kg_reranking,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP002-C,PP002,traditional_text_rag,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP002-D,PP002,structured_gated_path_answer,2,4,4.5,0,3,3.5,0,5,5,1,4,4.5,0,4,4.5,0,3,3.5,0
PP003-A,PP003,legacy_path_answer,2,4,4.5,0,4,4.5,0,5,5,1,4,4.5,0,4,4.5,0,4,4.5,0
PP003-B,PP003,text_rag_kg_reranking,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP003-C,PP003,traditional_text_rag,2,4,4.5,0,4,4,1,5,5,1,4,4.5,0,4,4.5,0,4,4,1
PP003-D,PP003,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP004-A,PP004,traditional_text_rag,2,4,4.5,0,4,4.5,0,5,5,1,4,4,0,4,4.5,0,4,4.5,0
PP004-B,PP004,structured_gated_path_answer,2,4,4.5,0,5,5,1,5,5,1,4,4.5,0,5,5,1,5,5,1
PP004-C,PP004,legacy_path_answer,2,4,4.5,0,3,3.5,0,5,5,1,4,4,0,4,4.5,0,3,3.5,0
PP004-D,PP004,text_rag_kg_reranking,2,5,5,1,4,4.5,0,5,5,1,4,4.5,0,5,5,1,4,4.5,0
PP005-A,PP005,structured_gated_path_answer,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP005-B,PP005,traditional_text_rag,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,4,4.5,0
PP005-C,PP005,text_rag_kg_reranking,2,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1,5,5,1
PP005-D,PP005,legacy_path_answer,2,5,5,1,4,4.5,0,5,5,1,5,5,1,5,5,1,4,4.5,0
