answer_id,question_id,system
PP001-A,PP001,traditional_text_rag
PP001-B,PP001,structured_gated_path_answer
PP001-C,PP001,legacy_path_answer
PP001-D,PP001,text_rag_kg_reranking
PP002-A,PP002,legacy_path_answer
PP002-B,PP002,text_rag_kg_reranking
PP002-C,PP002,traditional_text_rag
PP002-D,PP002,structured_gated_path_answer
PP003-A,PP003,legacy_path_answer
PP003-B,PP003,text_rag_kg_reranking
PP003-C,PP003,traditional_text_rag
PP003-D,PP003,structured_gated_path_answer
PP004-A,PP004,traditional_text_rag
PP004-B,PP004,structured_gated_path_answer
PP004-C,PP004,legacy_path_answer
PP004-D,PP004,text_rag_kg_reranking
PP005-A,PP005,structured_gated_path_answer
PP005-B,PP005,traditional_text_rag
PP005-C,PP005,text_rag_kg_reranking
PP005-D,PP005,legacy_path_answer
PP006-A,PP006,text_rag_kg_reranking
PP006-B,PP006,structured_gated_path_answer
PP006-C,PP006,traditional_text_rag
PP006-D,PP006,legacy_path_answer
PP007-A,PP007,structured_gated_path_answer
PP007-B,PP007,legacy_path_answer
PP007-C,PP007,text_rag_kg_reranking
PP007-D,PP007,traditional_text_rag
PP008-A,PP008,structured_gated_path_answer
PP008-B,PP008,legacy_path_answer
PP008-C,PP008,traditional_text_rag
PP008-D,PP008,text_rag_kg_reranking
PP009-A,PP009,text_rag_kg_reranking
PP009-B,PP009,traditional_text_rag
PP009-C,PP009,structured_gated_path_answer
PP009-D,PP009,legacy_path_answer
PP010-A,PP010,text_rag_kg_reranking
PP010-B,PP010,legacy_path_answer
PP010-C,PP010,traditional_text_rag
PP010-D,PP010,structured_gated_path_answer
PP011-A,PP011,text_rag_kg_reranking
PP011-B,PP011,legacy_path_answer
PP011-C,PP011,structured_gated_path_answer
PP011-D,PP011,traditional_text_rag
PP012-A,PP012,traditional_text_rag
PP012-B,PP012,text_rag_kg_reranking
PP012-C,PP012,structured_gated_path_answer
PP012-D,PP012,legacy_path_answer
PP013-A,PP013,traditional_text_rag
PP013-B,PP013,legacy_path_answer
PP013-C,PP013,structured_gated_path_answer
PP013-D,PP013,text_rag_kg_reranking
PP014-A,PP014,legacy_path_answer
PP014-B,PP014,text_rag_kg_reranking
PP014-C,PP014,structured_gated_path_answer
PP014-D,PP014,traditional_text_rag
PP015-A,PP015,traditional_text_rag
PP015-B,PP015,text_rag_kg_reranking
PP015-C,PP015,legacy_path_answer
PP015-D,PP015,structured_gated_path_answer
PP016-A,PP016,traditional_text_rag
PP016-B,PP016,structured_gated_path_answer
PP016-C,PP016,legacy_path_answer
PP016-D,PP016,text_rag_kg_reranking
PP017-A,PP017,legacy_path_answer
PP017-B,PP017,text_rag_kg_reranking
PP017-C,PP017,structured_gated_path_answer
PP017-D,PP017,traditional_text_rag
PP018-A,PP018,legacy_path_answer
PP018-B,PP018,structured_gated_path_answer
PP018-C,PP018,traditional_text_rag
PP018-D,PP018,text_rag_kg_reranking
PP019-A,PP019,traditional_text_rag
PP019-B,PP019,legacy_path_answer
PP019-C,PP019,structured_gated_path_answer
PP019-D,PP019,text_rag_kg_reranking
PP020-A,PP020,text_rag_kg_reranking
PP020-B,PP020,legacy_path_answer
PP020-C,PP020,structured_gated_path_answer
PP020-D,PP020,traditional_text_rag
