question_id,pubtator_fetch,semantic_graph,vector_index,kg_expansion,answer_netmedex_hybrid_rag,answer_traditional_rag,answer_general_llm,total,node_count,edge_count,path_count,preferred_pmids,corpus_document_count,tokens_input_tokens,tokens_output_tokens,tokens_total_tokens
PP001,0.0,1.6748905181884766e-05,3.918724335730076,0.00015012919902801514,0.0,,,4.424237512052059,65,90,2,"['29500883', '38045146']",9,,,
PP002,0.0,5.589425563812256e-05,1.7719275131821632,6.811320781707764e-05,0.0,,,2.2986493706703186,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP003,0.0,2.822279930114746e-05,1.5422174334526062,1.1004507541656494e-05,0.0,,,2.015162318944931,33,42,1,['33476985'],15,,,
PP004,0.0,1.624971628189087e-05,1.5910651683807373,1.1391937732696533e-05,0.0,,,2.074067823588848,35,41,1,['27576555'],15,,,
PP005,0.0,1.7307698726654053e-05,1.4452080130577087,1.0386109352111816e-05,0.0,,,1.9154138714075089,123,208,1,['26277279'],15,,,
PP006,0.0,1.65402889251709e-05,1.026300497353077,3.329664468765259e-05,0.0,,,1.4910073205828667,65,90,2,"['29500883', '38045146']",9,,,
PP007,0.0,1.6666948795318604e-05,1.5353951379656792,9.892880916595459e-05,0.0,,,2.010569304227829,89,126,3,"['15810876', '30623450', '32519340']",15,,,
PP008,0.0,4.786252975463867e-05,2.100995361804962,0.0003000721335411072,0.0,,,2.6696890220046043,209,297,1,"['21320797', '38474387']",26,,,
PP009,0.0,3.6366283893585205e-05,1.6587632447481155,0.0001990795135498047,0.0,,,2.1626812890172005,105,163,1,"['23788646', '28155088', '37546931']",15,,,
PP010,0.0,1.6137957572937012e-05,1.4013799503445625,0.00018180161714553833,0.0,,,2.083830200135708,105,163,2,"['37546931', '38554847']",15,,,
PP011,0.0,2.0585954189300537e-05,1.3737714812159538,0.0002102106809616089,0.0,,,1.8469923958182335,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP012,0.0,1.7307698726654053e-05,1.1021010354161263,0.00016222894191741943,0.0,,,1.5685852319002151,59,126,1,"['29052129', '30611768', '38064540']",11,,,
PP013,0.0,1.5370547771453857e-05,1.1177811175584793,0.00024996697902679443,0.0,,,1.5902854427695274,59,126,3,"['20485626', '25646384', '29052129', '32839523', '38064540']",11,,,
PP014,0.0,1.455843448638916e-05,2.0333465188741684,6.854406587779522,27.372046142816544,,,36.74204920232296,166,267,1,"['29302038', '35430804']",26,3841,960,4801
PP015,0.0,9.331107139587402e-05,3.358862079679966,6.648721389472485,25.966488167643547,,,36.66374056786299,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,2863,957,3820
PP016,0.0,5.222111940383911e-05,3.2786759361624718,9.109240889549255,31.319455966353416,,,44.32584876567125,172,296,3,"['33201261', '36289287', '36600119', '37546931']",39,4151,1128,5279
PP017,0.0,8.573383092880249e-05,1.9832114651799202,0.00014113634824752808,0.0,,,2.480543129146099,60,104,1,"['39411648', '41997336']",15,0,0,0
PP018,0.0,2.6181340217590332e-05,2.968547448515892,7.7394953817129135,24.705720849335194,,,36.10407409071922,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3845,866,4711
PP019,0.0,8.881092071533203e-05,3.7223766520619392,7.942876420915127,32.892554581165314,,,45.24788475036621,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3674,1200,4874
PP020,0.0,8.954107761383057e-05,4.126196026802063,9.152329929172993,26.71492514014244,,,40.571187406778336,223,452,4,"['16313350', '17191007', '20599675', '22179898', '24646638', '24976068', '25918553', '26707036']",42,3849,946,4795
