question_id,source,target,relation_type,npmi,raw_conf,strength_mult,evidence_boost,calibrated_conf,rel_score,base_score,ontology_multiplier,final_score,biologically_meaningful_mean,relation_type_correct_mean,n_raters
Q001,icariin,runx2,upregulates,1.0,0.955,1.1,1.05,1.0,0.45254946312469335,0.8357648389374079,1.2,1.0029178067248894,1.0,0.5,2
Q001,icariin,osteoporosis,ameliorates,1.0,0.8200000000000001,1.1,1.05,0.9471000000000002,0.45254946312469335,0.8146048389374081,1.2,0.9775258067248896,0.0,0.0,2
Q001,icariin,mir335,regulates,0.5,0.92,1.1,1.0,1.0,0.47492699687288786,0.6924780990618664,1.2,0.8309737188742397,1.0,1.0,2
Q001,icariin,mitf,regulates,0.5,0.84,1.1,1.0,0.924,0.45254946312469335,0.655364838937408,1.2,0.7864378067248896,0.0,0.0,2
Q001,icariin,mir153,upregulates,0.5,0.94,1.1,1.0,1.0,0.4696803762187401,0.690904112865622,1.2,0.8290849354387464,1.0,0.0,2
Q001,icariin,mmp3,downregulates,0.5,0.93,1.1,1.0,1.0,0.45254946312469335,0.685764838937408,1.2,0.8229178067248896,1.0,1.0,2
Q001,icariin,pten,inhibits,0.5,0.82,1.1,1.0,0.902,0.45254946312469335,0.646564838937408,1.2,0.7758778067248896,0.0,0.0,2
Q001,icariin,rab27a,regulates,0.5,0.86,1.1,1.0,0.9460000000000001,0.45254946312469335,0.6641648389374081,1.2,0.7969978067248896,0.0,0.0,2
Q001,icariin,vegfa,decreases,0.5,0.86,1.1,1.0,0.9460000000000001,0.45254946312469335,0.6641648389374081,1.2,0.7969978067248896,0.0,0.0,2
Q001,icariin,onfh,prevents,0.5,0.96,1.1,1.0,1.0,0.45254946312469335,0.685764838937408,1.2,0.8229178067248896,1.0,1.0,2
Q001,runx2,mir153,upregulates,0.5,0.87,1.1,1.0,0.9570000000000001,0.4696803762187401,0.673704112865622,1.2,0.8084449354387464,1.0,0.0,2
Q004,curcumin,neoplasms,treats,1.0,0.8218181818181818,1.1,1.2,1.0,0.5425126968389996,0.8627538090516998,1.2,1.0353045708620399,1.0,1.0,2
Q004,curcumin,inflammation,ameliorates,0.42857142857142855,0.7933333333333333,1.1,1.1,0.9599333333333334,0.5425126968389996,0.6752985709564618,1.2,0.8103582851477542,0.0,0.0,2
Q004,curcumin,neoplasm metastasis,inhibits,0.42857142857142855,0.8766666666666666,1.1,1.1,1.0,0.5425126968389996,0.6913252376231285,1.2,0.8295902851477541,0.0,0.0,2
Q004,curcumin,nfkb1,inhibits,0.2857142857142857,0.9299999999999999,1.1,1.05,1.0,0.5425126968389996,0.6484680947659855,1.2,0.7781617137191826,0.0,0.0,2
Q004,curcumin,polyphenols,associated_with,0.2857142857142857,0.945,0.9,1.05,0.893025,0.5425126968389996,0.6056780947659856,1.1,0.6662459042425841,0.0,0.0,2
Q004,curcumin,cox2,inhibits,0.14285714285714285,0.97,1.1,1.0,1.0,0.5425126968389996,0.6056109519088427,1.2,0.7267331422906113,0.0,0.0,2
Q004,curcumin,tp53,upregulates,0.14285714285714285,0.96,1.1,1.0,1.0,0.5425126968389996,0.6056109519088427,1.2,0.7267331422906113,0.0,0.0,2
Q004,curcumin,breast neoplasms,treats,0.14285714285714285,0.87,1.1,1.0,0.9570000000000001,0.5425126968389996,0.5884109519088427,1.2,0.7060931422906113,1.0,1.0,2
Q004,curcumin,lung neoplasms,treats,0.14285714285714285,0.95,1.1,1.0,1.0,0.5425126968389996,0.6056109519088427,1.2,0.7267331422906113,1.0,1.0,2
Q004,curcumin,prostatic neoplasms,treats,0.2857142857142857,0.9,1.1,1.05,1.0,0.5425126968389996,0.6484680947659855,1.2,0.7781617137191826,1.0,1.0,2
