question_id,pmid,similarity,weight,is_preferred,routed_profile
Q001,27492554,0.690733273900378,1.0,False,G_evidence_gated_two_hop
Q001,29904399,0.6860488826332767,1.0,True,G_evidence_gated_two_hop
Q001,38045146,0.6651203026855061,1.0,True,G_evidence_gated_two_hop
Q001,41484919,0.663339298051586,1.0,True,G_evidence_gated_two_hop
Q001,35292240,0.6476181800144599,1.0,True,G_evidence_gated_two_hop
Q001,29500883,0.6447472338616872,1.0,False,G_evidence_gated_two_hop
Q001,33743412,0.6089881898756954,1.0,True,G_evidence_gated_two_hop
Q001,32911026,0.5752733636260333,1.0,True,G_evidence_gated_two_hop
Q001,39588260,0.5660805984201639,1.0,True,G_evidence_gated_two_hop
Q004,15810876,0.6283762240060298,1.0,True,G_evidence_gated_two_hop
Q004,30623450,0.5989199374620973,1.0,True,G_evidence_gated_two_hop
Q004,38699926,0.5920934711462523,1.0,True,G_evidence_gated_two_hop
Q004,31590362,0.5889506597903633,1.0,True,G_evidence_gated_two_hop
Q004,38031951,0.5878472991607736,1.0,True,G_evidence_gated_two_hop
Q004,32519340,0.5681490536801325,1.0,True,G_evidence_gated_two_hop
Q004,29693253,0.5629028543574971,1.0,True,G_evidence_gated_two_hop
Q004,38166505,0.5339987675885987,1.0,True,G_evidence_gated_two_hop
Q004,30725357,0.5255523475601428,1.0,True,G_evidence_gated_two_hop
Q004,41109942,0.5241625285947177,1.0,True,G_evidence_gated_two_hop
Q004,39219410,0.5209694247642517,1.0,True,G_evidence_gated_two_hop
Q004,41252742,0.5191164965715918,1.0,True,G_evidence_gated_two_hop
Q004,38269517,0.5163961118708202,1.0,False,G_evidence_gated_two_hop
Q004,37776274,0.5137487494434868,1.0,True,G_evidence_gated_two_hop
Q004,35722665,0.5036198656432621,1.0,False,G_evidence_gated_two_hop
Q008,23788646,0.5924575339096969,1.0,True,G_evidence_gated_two_hop
Q008,37546931,0.586425232829002,1.0,True,G_evidence_gated_two_hop
Q008,38554847,0.5814075891617623,1.0,False,G_evidence_gated_two_hop
Q008,27588407,0.5784967622252719,1.0,True,G_evidence_gated_two_hop
Q008,40824057,0.5755874865591056,1.0,False,G_evidence_gated_two_hop
Q008,38073491,0.568924114835398,1.0,False,G_evidence_gated_two_hop
Q008,40247380,0.5654743603804582,1.0,True,G_evidence_gated_two_hop
Q008,35160099,0.5584148611196817,1.0,True,G_evidence_gated_two_hop
